"","Year","district","flat_type","avg_price_per_sqm"
"582",1999,"D10","3-RM",2248.2607717461
"583",1999,"D10","4-RM",2906.34343789497
"584",1999,"D10","5-RM",3376.3981405275
"585",1999,"D10","EXEC",3300.30651421552
"586",1999,"D12","2-RM",2232.83564814815
"587",1999,"D12","3-RM",2334.15921718714
"588",1999,"D12","4-RM",2656.95859222769
"589",1999,"D12","5-RM",3100.48532826507
"590",1999,"D12","EXEC",3172.40534191756
"591",1999,"D14","2-RM",1648.86278016941
"592",1999,"D14","3-RM",2152.17362925552
"593",1999,"D14","4-RM",2692.02421995727
"594",1999,"D14","5-RM",3047.68398029114
"595",1999,"D14","EXEC",3132.26296003271
"596",1999,"D16","2-RM",2081.35009942962
"597",1999,"D16","3-RM",2225.28195026499
"598",1999,"D16","4-RM",2586.88022102705
"599",1999,"D16","5-RM",2972.45581909193
"600",1999,"D16","EXEC",3246.74128469539
"601",1999,"D18","2-RM",2310.84639498433
"602",1999,"D18","3-RM",2338.61281117212
"603",1999,"D18","4-RM",2637.198752695
"604",1999,"D18","5-RM",2881.45613718554
"605",1999,"D18","EXEC",3122.35944530978
"606",1999,"D19","3-RM",2080.46787082138
"607",1999,"D19","4-RM",2473.73705069244
"608",1999,"D19","5-RM",2843.20508731089
