District.,Property.Type.,Year,avg_psf
D14,HDB Executive,1999,290.9970586
D14,HDB Executive,2000,312.5373935
D14,HDB Executive,2001,290.6729073
D14,HDB Executive,2002,275.3527592
D14,HDB Executive,2003,273.6711685
D14,HDB Executive,2004,251.3825977
D14,HDB Executive,2005,250.2573417
D14,HDB Executive,2006,237.814171
D14,HDB Executive,2007,272.3718478
D14,HDB Executive,2008,308.4888244
D14,HDB Executive,2009,332.3194918
D14,HDB Executive,2010,365.9109052
D14,HDB Executive,2011,406.8065478
D14,HDB Executive,2012,463.8775863
D14,HDB Executive,2013,483.0277416
D14,HDB Executive,2014,473.7958759
D14,HDB Executive,2015,451.6324473
D14,HDB Executive,2016,468.4724971
D14,HDB Executive,2017,498.0324408
D14,HDB Executive,2018,473.973666
D14,HDB Executive,2019,463.2477418
D14,HDB Executive,2020,479.3229129
D14,HDB Executive,2021,522.4029762
D14,HDB Executive,2022,571.7332699
D16,HDB 2 Rooms,1990,53.88246825
D16,HDB 2 Rooms,1991,52.87279703
D16,HDB 2 Rooms,1992,57.41959917
D16,HDB 2 Rooms,1993,82.13762039
D16,HDB 2 Rooms,1994,105.1839416
D16,HDB 2 Rooms,1995,134.3602762
D16,HDB 2 Rooms,1996,195.1672349
D16,HDB 2 Rooms,1997,248.7390723
D16,HDB 2 Rooms,1998,190.4911919
D16,HDB 2 Rooms,1999,193.3638994
D16,HDB 2 Rooms,2000,222.8247933
D16,HDB 2 Rooms,2001,204.4270406
D16,HDB 2 Rooms,2002,197.6341444
D16,HDB 2 Rooms,2003,210.4635328
D16,HDB 2 Rooms,2004,228.8000074
D16,HDB 2 Rooms,2005,244.4433628
D16,HDB 2 Rooms,2006,258.6836556
D16,HDB 2 Rooms,2007,276.0526833
D16,HDB 2 Rooms,2008,336.3972618
D16,HDB 2 Rooms,2009,377.7188937
D16,HDB 2 Rooms,2010,447.5355864
D16,HDB 2 Rooms,2011,503.0369189
D16,HDB 2 Rooms,2012,555.7178393
D16,HDB 2 Rooms,2013,577.5823059
D16,HDB 2 Rooms,2014,542.5549423
D16,HDB 2 Rooms,2015,504.9859643
D16,HDB 2 Rooms,2016,493.9044398
D16,HDB 2 Rooms,2017,489.0976319
D16,HDB 2 Rooms,2018,457.2806071
D16,HDB 2 Rooms,2019,435.8751994
